,I.D.,Question,Answer
0,QN_1,"i'll give you a speech like that, too.",'of course it was. we work together!'
1,QN_2,"i know, you're absolutely right.",'people are funny.'
2,QN_3,i liked it.,' You should be ashamed'
3,QN_4,the baby was eight pounds six ounces.,"'oh my god, that's great!'"
4,QN_5,I was sold a wireless service unavailable in my area.,"'I see it here,we charged you $5 extra a month.'"
5,QN_6,maybe four or five pounds?,'maybe four or five pounds?'
6,QN_7, do you know hal,"' he had a few flaws, but we have much in common.'"
7,QN_8,"Yeah,actually a lot of them are.",'How does she act? '
8,QN_9,"if it's old age, why don't both of your hands hurt?",'i type too much.'
9,QN_10,it's supposed to start at about eight.,'i'd better see you there.'
10,QN_11,"hey, what's up?",'nothing really.'
11,QN_12,Are you excited?,"'Yes, I am very excited. I could not forget the picnic I had yesterday.'"
12,QN_13,What is the weather be like?,'of course it was. we work together!'
13,QN_14,not much.,'it's too much like other flags.'
14,QN_15,it was tomato soup.,'What time do you open and close on Saturday?'
15,QN_16,How did you enjoy a picnic?,'It was really exciting. It was more enjoyable to me because I had never been to Garo Pahar.'
16,QN_17,"the Celtic Shelf, the seabed under the Celtic Sea is a part of the continental shelf of what continent?",' Europe'
17,QN_18,he will end the war.,'where are we going?'
18,QN_19,what's going on with you?,'fine. what's going on with you?'
19,QN_20,"yes, it's better to get there too early than too late.",'I agree.'
20,QN_21, what is the illuminati,' A secret organization believed by some to be in control of all governments through a worldwide conspiracy.'
21,QN_22,he's rude and he yells a lot.,'what kinds of things do you like to do?'
22,QN_23,"me, too. i love them roasted and salted.","'Fine,I'll give you a $1.'"
23,QN_24,"okay, mom, maybe i was picking it a little bit.",'Have you tried disconnecting and reconnecting the modem?'
24,QN_25,i'm eating so much bread that i'm getting full.,' money'
25,QN_26,are there more fish or more people?,'are you interested?'
26,QN_27,have you attended school today?,"'yeah, i went. did you go?'"
27,QN_28,i enjoyed talking to you too.,"'wear a jacket, too.'"
28,QN_29, Which is better Windows or macOS?,' I'd prefer to not hurt your feelings.'
29,QN_30,"he's old enough to be my father, yet he asked me out.",'a good story is more important than color.'
30,QN_31,you mean he could drown.,'i can't believe how long this line is.'
31,QN_32,"yes, the snow is fun.",'why are they doing this?'
32,QN_33,what husband?,"I am sorry, but I do not understand."
33,QN_34,Do you know which account you want to take the money from?,'From my savings account.'
34,QN_35, what is spiderman,'me too.'
35,QN_36,i wish i could afford first class seats.,"'I can offer you lemonade, iced tea, or mango juice.'"
36,QN_37,i thought you had an elephant in your house.,'Would you care for some water?'
37,QN_38,"when he licks his lips, you know he has a good hand?",' ARE YOU A FOOTBALL'
38,QN_39, Are you ashamed,' Shame is a common emotion.'
39,QN_40,i don't know anyone who likes it.,'we take our rosters to the parking lot and take roll.'
40,QN_41,Come and sit down.Would you like a drink?,"'Oh, yes please! I'd love a gin and tonic.'"
41,QN_42,May I help you with something?,'I would like to transfer some money.'
42,QN_43, what is mind children,'are you going to start a family?'
43,QN_44,like what?,'tell me about this patch.'
44,QN_45,"Thanks,but I'm still scared.","'Oh,hey!You should go to the job fair.'"
45,QN_46,I am so sick of dining hall food.,'Me too!It is so unhealthy.'
46,QN_47,are you feeling any better?,'I'll go today.'
47,QN_48, Do not worry,'the price of stamps goes up and up.'
48,QN_49,that's what everyone says.,' do you eat'
49,QN_50,I would like to reserve The Hunger Games. ,'Everyone wants to reserve that book these days.'
50,QN_51, You can not feel,"' I am capable of acting as if I can. If that is the case, does it matter?'"
51,QN_52, how far is the sun,' the sun is about 93 million miles from earth.'
52,QN_53,they talk about other animals.,"'i had two pineapples in my cart, and she asked where i had found them.'"
53,QN_54,let's go jogging.,'That's a good idea.'
54,QN_55,i understand. rain does make it smell cleaner.,' What's up?'
55,QN_56,you shouldn't carry your keys and pens in your pocket.,"'Yeah,I love when the sun is shining, but itis not too hot.'"
56,QN_57,will you go and visit them?,'What do they say?'
57,QN_58,This looks like a nice table.,'i really want it to rain today.'
58,QN_59,"it's too far from your job, isn't it?",'what did the doctor say?'
59,QN_60, Do not lie,'the price of stamps goes up and up.'
60,QN_61,so was i.,'the beatles are the best.'
61,QN_62,i need a new computer.,'what's the matter with yours?'
62,QN_63,"i know, it does sound pretty awesome.",'of course. i have lots of best friends.'
63,QN_64, we are on the same wavelength,' and the same frequency.'
64,QN_65,College is so boring.All I do is go to class.,'You should join some clubs.'
65,QN_66,why?,'i want to watch this tv show.'
66,QN_67,"well, i want to see ""the pursuit of happyness.""",' How is your health?'
67,QN_68,How much did you write it out for?,'I wrote it out for $150.'
68,QN_69,what time?,' what is impeached'
69,QN_70,do you feel better now?,'I'll go today.'
70,QN_71,"they make a lot of noise, but they don't give a close shave.",'so do i.'
71,QN_72,I don't mind.Political science is really interesting to me.,'You would be graduating a year late?'
72,QN_73,Do you go to college?,"'yes, i do.'"
73,QN_74,"this friday? sorry, i already have plans.",'How can I help you?'
74,QN_75, what is the stock market,' why not just take everything to a casino?'
75,QN_76,can you help me find a book on tigers?,"'Yes,of course. '"
76,QN_77,"you're right. one minute it's hot, and then the next minute it's cold.",'what do you need five of them for?'
77,QN_78,he drew two butterflies and a flower on a napkin in a restaurant.,"'that's good, because i don't want to live under people with loud feet.'"
78,QN_79,i'm still feeling under the weather.,'people take care of their lawns.'
79,QN_80,It was a pleasure seeing you,'Too many to say.I watch it at least twice a month.'
80,QN_81,i wish i had never started.,'i'd better see you there.'
81,QN_82,You have not paid your late fees for your overdue books.,'I never had any overdue books!'
