,I.D.,Question,Answer
0,QN_1,"i'll give you a speech like that, too.",'do you think anyone will come to my funeral?'
1,QN_2,"i know, you're absolutely right.",'people are funny.'
2,QN_3,i liked it.,'all night long we heard people snoring.'
3,QN_4,the baby was eight pounds six ounces.,"'let me look. no, it's not there.'"
4,QN_5,I was sold a wireless service unavailable in my area.,"'I see it here,we charged you $5 extra a month.'"
5,QN_6,maybe four or five pounds?,'i'm on a new diet.'
6,QN_7, do you know hal,"' hal is the famous artificial intelligence from ""2001"".'"
7,QN_8,"Yeah,actually a lot of them are.",'How does she act? '
8,QN_9,"if it's old age, why don't both of your hands hurt?",'i type too much.'
9,QN_10,it's supposed to start at about eight.,' You can not experience'
10,QN_11,"hey, what's up?",'i'm having a party this friday.'
11,QN_12,Are you excited?,"'yes. nothing's perfect, not even in heaven.'"
12,QN_13,What is the weather be like?,'The weather is hot.'
13,QN_14,not much.,'i'm sure everything will be okay in a day or two.'
14,QN_15,it was tomato soup.,'that was my favorite class.'
15,QN_16,How did you enjoy a picnic?,'It was really exciting. It was more enjoyable to me because I had never been to Garo Pahar.'
16,QN_17,"the Celtic Shelf, the seabed under the Celtic Sea is a part of the continental shelf of what continent?",' Europe'
17,QN_18,he will end the war.,'where are we going?'
18,QN_19,what's going on with you?,'i hope that it does rain.'
19,QN_20,"yes, it's better to get there too early than too late.",'I agree.'
20,QN_21, what is the illuminati,' A secret organization believed by some to be in control of all governments through a worldwide conspiracy.'
21,QN_22,he's rude and he yells a lot.,'what kinds of things do you like to do?'
22,QN_23,"me, too. i love them roasted and salted.","'Fine,I'll give you a $1.'"
23,QN_24,"okay, mom, maybe i was picking it a little bit.",'Have you tried disconnecting and reconnecting the modem?'
24,QN_25,i'm eating so much bread that i'm getting full.,' money'
25,QN_26,are there more fish or more people?,'are you interested?'
26,QN_27,have you attended school today?,'I'll go today.'
27,QN_28,i enjoyed talking to you too.,'that's for sure.'
28,QN_29, Which is better Windows or macOS?,' I'd prefer to not hurt your feelings.'
29,QN_30,"he's old enough to be my father, yet he asked me out.",'a good story is more important than color.'
30,QN_31,you mean he could drown.,'i can't believe how long this line is.'
31,QN_32,"yes, the snow is fun.",'why are they doing this?'
32,QN_33,what husband?,"I am sorry, but I do not understand."
33,QN_34,Do you know which account you want to take the money from?,'From my savings account.'
34,QN_35, what is spiderman,' a comic book story made into a movie.'
35,QN_36,i wish i could afford first class seats.,"'I can offer you lemonade, iced tea, or mango juice.'"
36,QN_37,i thought you had an elephant in your house.,'Would you care for some water?'
37,QN_38,"when he licks his lips, you know he has a good hand?",' ARE YOU A FOOTBALL'
38,QN_39, Are you ashamed,' Shame is a common emotion.'
39,QN_40,i don't know anyone who likes it.,'no. that's incomplete.'
40,QN_41,Come and sit down.Would you like a drink?,"'Oh, yes please! I'd love a gin and tonic.'"
41,QN_42,May I help you with something?,'I would like to transfer some money.'
42,QN_43, what is mind children,' It is a book about robots by Hans Moravec.'
43,QN_44,like what?,'what's your favorite thing to do?'
44,QN_45,"Thanks,but I'm still scared.","'Oh,hey!You should go to the job fair.'"
45,QN_46,I am so sick of dining hall food.,'Me too!It is so unhealthy.'
46,QN_47,are you feeling any better?,'What a funny name!'
